key,score,time,nok,nko,nsession,nycard,team,playerSurname,userId,sumscore,sumtime,sumnok,sumnko,sumnsession,sumnycard
"26/11/2011",0,21,18,5,29,0,"Arsenal","Abou Diaby",28566,0,21,18,5,29,0
"03/03/2012",0,28,15,0,22,0,"Arsenal","Abou Diaby",28566,0,49,33,5,51,0
"21/04/2012",0,25,18,3,26,1,"Arsenal","Abou Diaby",28566,0,74,51,8,77,1
"28/04/2012",0,17,10,1,17,0,"Arsenal","Abou Diaby",28566,0,91,61,9,94,1
"17/09/2011",0,90,63,11,101,0,"Arsenal","André Santos",57214,0,90,63,11,101,0
"16/10/2011",0,39,23,6,42,0,"Arsenal","André Santos",57214,0,129,86,17,143,0
"23/10/2011",0,90,48,10,77,0,"Arsenal","André Santos",57214,0,219,134,27,220,0
"29/10/2011",1,90,39,11,90,0,"Arsenal","André Santos",57214,1,309,173,38,310,0
"05/11/2011",0,90,73,11,105,0,"Arsenal","André Santos",57214,1,399,246,49,415,0
"19/11/2011",0,90,54,18,95,0,"Arsenal","André Santos",57214,1,489,300,67,510,0
"26/11/2011",0,90,60,11,101,1,"Arsenal","André Santos",57214,1,579,360,78,611,1
"03/12/2011",0,90,63,6,85,0,"Arsenal","André Santos",57214,1,669,423,84,696,1
"24/03/2012",0,22,15,2,21,0,"Arsenal","André Santos",57214,1,691,438,86,717,1
"08/04/2012",0,34,23,4,40,1,"Arsenal","André Santos",57214,1,725,461,90,757,2
"11/04/2012",0,90,85,11,113,0,"Arsenal","André Santos",57214,1,815,546,101,870,2
"16/04/2012",0,90,63,12,98,0,"Arsenal","André Santos",57214,1,905,609,113,968,2
"21/04/2012",0,20,17,3,27,0,"Arsenal","André Santos",57214,1,925,626,116,995,2
"28/04/2012",0,7,7,1,11,0,"Arsenal","André Santos",57214,1,932,633,117,1006,2
"13/05/2012",1,80,43,9,69,0,"Arsenal","André Santos",57214,2,1012,676,126,1075,2
"13/08/2011",0,61,19,15,45,0,"Arsenal","Arshavin",13227,0,61,19,15,45,0
"20/08/2011",0,72,21,15,52,0,"Arsenal","Arshavin",13227,0,133,40,30,97,0
"28/08/2011",0,90,32,13,63,1,"Arsenal","Arshavin",13227,0,223,72,43,160,1
"10/09/2011",1,63,23,3,38,0,"Arsenal","Arshavin",13227,1,286,95,46,198,1
"17/09/2011",0,65,24,8,45,0,"Arsenal","Arshavin",13227,1,351,119,54,243,1
"24/09/2011",0,12,7,2,10,0,"Arsenal","Arshavin",13227,1,363,126,56,253,1
"02/10/2011",0,13,5,3,10,0,"Arsenal","Arshavin",13227,1,376,131,59,263,1
"16/10/2011",0,22,12,2,23,0,"Arsenal","Arshavin",13227,1,398,143,61,286,1
"23/10/2011",0,19,13,3,20,0,"Arsenal","Arshavin",13227,1,417,156,64,306,1
"05/11/2011",0,12,3,3,8,0,"Arsenal","Arshavin",13227,1,429,159,67,314,1
"26/11/2011",0,76,25,10,44,0,"Arsenal","Arshavin",13227,1,505,184,77,358,1
"03/12/2011",0,10,3,1,5,0,"Arsenal","Arshavin",13227,1,515,187,78,363,1
"18/12/2011",0,21,10,3,17,0,"Arsenal","Arshavin",13227,1,536,197,81,380,1
"21/12/2011",0,9,4,2,9,0,"Arsenal","Arshavin",13227,1,545,201,83,389,1
"27/12/2011",0,27,15,4,22,0,"Arsenal","Arshavin",13227,1,572,216,87,411,1
"31/12/2011",0,68,20,11,41,0,"Arsenal","Arshavin",13227,1,640,236,98,452,1
"15/01/2012",0,63,15,5,35,0,"Arsenal","Arshavin",13227,1,703,251,103,487,1
"22/01/2012",0,16,6,1,7,0,"Arsenal","Arshavin",13227,1,719,257,104,494,1
"11/02/2012",0,3,2,1,4,0,"Arsenal","Arshavin",13227,1,722,259,105,498,1
"10/09/2011",0,90,71,9,93,1,"Arsenal","Arteta",8758,0,90,71,9,93,1
"17/09/2011",1,90,62,8,76,0,"Arsenal","Arteta",8758,1,180,133,17,169,1
"24/09/2011",0,82,62,14,85,0,"Arsenal","Arteta",8758,1,262,195,31,254,1
"02/10/2011",0,90,80,11,105,0,"Arsenal","Arteta",8758,1,352,275,42,359,1
"16/10/2011",0,90,68,10,91,0,"Arsenal","Arteta",8758,1,442,343,52,450,1
"23/10/2011",0,90,78,20,106,0,"Arsenal","Arteta",8758,1,532,421,72,556,1
"29/10/2011",0,90,73,6,89,0,"Arsenal","Arteta",8758,1,622,494,78,645,1
"05/11/2011",1,90,84,10,107,0,"Arsenal","Arteta",8758,2,712,578,88,752,1
"19/11/2011",0,90,63,13,96,0,"Arsenal","Arteta",8758,2,802,641,101,848,1
"26/11/2011",0,90,80,15,105,0,"Arsenal","Arteta",8758,2,892,721,116,953,1
"03/12/2011",1,90,85,12,108,0,"Arsenal","Arteta",8758,3,982,806,128,1061,1
"10/12/2011",0,90,59,8,76,1,"Arsenal","Arteta",8758,3,1072,865,136,1137,2
"18/12/2011",0,90,67,7,83,1,"Arsenal","Arteta",8758,3,1162,932,143,1220,3
"21/12/2011",0,90,71,8,83,0,"Arsenal","Arteta",8758,3,1252,1003,151,1303,3
"27/12/2011",0,90,75,14,102,0,"Arsenal","Arteta",8758,3,1342,1078,165,1405,3
