score,time,nok,nko,groupName,userId,moduleName,nsession,date,sumscore,sumtime,sumnok,sumnko,sumnsession,day,month,year,week
0.88,10,11,8,AM 2,2660084,Les Fondamentaux Campus,1,18/09/2017,0.88,10,11,8,1,18,09,2017,38
32.94,18,127,7,AM 2,2660085,Supérieur,1,26/09/2017,32.94,18,127,7,1,26,09,2017,39
8.94,8,56,10,AM 2,2660085,Supérieur,1,27/09/2017,41.88,26,183,17,2,27,09,2017,39
31.099999999999994,17,181,45,AM 2,2660085,Supérieur,1,02/10/2017,72.97999999999998,43,364,62,3,02,10,2017,40
9.4,5,45,7,AM 2,2660085,Supérieur,1,13/10/2017,82.38,48,409,69,4,13,10,2017,41
4.0,5,31,26,AM 2,2660085,Supérieur,1,20/10/2017,86.38,53,440,95,5,20,10,2017,42
7.64,12,28,4,AM 2,2660086,Les Fondamentaux Campus,1,13/09/2017,7.64,12,28,4,1,13,09,2017,37
1.88,34,10,2,AM 2,2660086,Les Fondamentaux Campus,1,05/10/2017,9.52,46,38,6,2,05,10,2017,40
4.64,10,18,3,AM 2,2660086,Les Fondamentaux Campus,1,16/10/2017,14.16,56,56,9,3,16,10,2017,42
4.64,5,29,8,AM 2,2660086,Les Fondamentaux Campus,1,23/11/2017,18.8,61,85,17,4,23,11,2017,47
41.88,14,153,8,AM 2,2660088,Supérieur,1,13/09/2017,41.88,14,153,8,1,13,09,2017,37
27.82,15,170,25,AM 2,2660088,Supérieur,1,19/09/2017,69.7,29,323,33,2,19,09,2017,38
27.580000000000005,17,200,45,AM 2,2660088,Supérieur,1,21/09/2017,97.28,46,523,78,3,21,09,2017,38
0.0,0,2,0,AM 2,2660088,Supérieur,1,29/01/2018,97.28,46,525,78,4,29,01,2018,5
12.82,37,145,49,AM 2,2660089,Les Fondamentaux Campus,1,20/09/2017,12.82,37,145,49,1,20,09,2017,38
6.4,6,35,13,AM 2,2660089,Les Fondamentaux Campus,1,21/09/2017,19.22,43,180,62,2,21,09,2017,38
1.0,4,12,10,AM 2,2660089,Les Fondamentaux Campus,1,02/10/2017,20.22,47,192,72,3,02,10,2017,40
40.0,83,426,88,AM 2,2660090,Les Fondamentaux Campus,1,13/09/2017,40.0,83,426,88,1,13,09,2017,37
71.0,114,887,246,AM 2,2660090,Les Fondamentaux Campus,1,14/09/2017,111.0,197,1313,334,2,14,09,2017,37
47.82,62,719,278,AM 2,2660090,Pro,1,15/09/2017,158.82,259,2032,612,3,15,09,2017,37
51.82,73,954,413,AM 2,2660090,Pont supérieur,1,18/09/2017,210.64,332,2986,1025,4,18,09,2017,38
23.2,37,195,60,AM 2,2660091,Les Fondamentaux Campus,1,13/09/2017,23.2,37,195,60,1,13,09,2017,37
20.680000000000003,23,128,42,AM 2,2660091,Les Fondamentaux Campus,1,14/09/2017,43.88,60,323,102,2,14,09,2017,37
13.280000000000005,9,101,29,AM 2,2660091,Pro,1,20/09/2017,57.16,69,424,131,3,20,09,2017,38
4.88,16,57,15,AM 2,2660091,Pro,1,19/10/2017,62.040000000000006,85,481,146,4,19,10,2017,42
18.44,31,153,50,AM 2,2660092,Les Fondamentaux Campus,1,13/09/2017,18.44,31,153,50,1,13,09,2017,37
2.76,11,32,28,AM 2,2660092,Les Fondamentaux Campus,1,14/09/2017,21.200000000000006,42,185,78,2,14,09,2017,37
0.88,7,13,20,AM 2,2660093,Les Fondamentaux Campus,1,12/09/2017,0.88,7,13,20,1,12,09,2017,37
14.0,3,42,0,AM 2,2660094,Supérieur,1,19/09/2017,14.0,3,42,0,1,19,09,2017,38
85.51999999999998,79,443,55,AM 2,2660094,Supérieur,1,21/09/2017,99.51999999999998,82,485,55,2,21,09,2017,38
11.28,45,74,18,AM 2,2660094,Supérieur,1,28/09/2017,110.79999999999998,127,559,73,3,28,09,2017,39
26.32,30,199,48,AM 2,2660094,Supérieur,1,19/10/2017,137.11999999999998,157,758,121,4,19,10,2017,42
12.94,11,69,9,AM 2,2660095,Les Fondamentaux Campus,1,13/09/2017,12.94,11,69,9,1,13,09,2017,37
6.4,13,74,33,AM 2,2660095,Les Fondamentaux Campus,1,14/09/2017,19.34,24,143,42,2,14,09,2017,37
1.0,16,40,47,AM 2,2660095,Les Fondamentaux Campus,1,18/09/2017,20.34,40,183,89,3,18,09,2017,38
10.76,8,45,5,AM 2,2660096,Les Fondamentaux Campus,1,05/10/2017,10.76,8,45,5,1,05,10,2017,40
27.640000000000004,31,175,39,AM 2,2660097,Supérieur,1,19/09/2017,27.640000000000004,31,175,39,1,19,09,2017,38
13.94,9,80,14,AM 2,2660097,Supérieur,1,21/09/2017,41.58000000000001,40,255,53,2,21,09,2017,38
26.679999999999996,24,187,53,AM 2,2660097,Supérieur,1,26/09/2017,68.25999999999999,64,442,106,3,26,09,2017,39
12.680000000000005,14,98,33,AM 2,2660097,Supérieur,1,27/09/2017,80.94,78,540,139,4,27,09,2017,39
2.0,2,10,10,AM 2,2660097,Supérieur,1,18/10/2017,82.94,80,550,149,5,18,10,2017,42
1.0,0,1,2,AM 2,2660097,Supérieur,1,21/12/2017,83.94,80,551,151,6,21,12,2017,51
27.16,13,127,26,AM 2,2660098,Supérieur,1,17/09/2017,27.16,13,127,26,1,17,09,2017,37
14.400000000000002,5,63,11,AM 2,2660098,Supérieur,1,22/09/2017,41.56,18,190,37,2,22,09,2017,38
16.800000000000004,13,121,45,AM 2,2660098,Supérieur,1,02/10/2017,58.36000000000001,31,311,82,3,02,10,2017,40
0.0,0,1,1,AM 2,2660098,Supérieur,1,08/10/2017,58.36000000000001,31,312,83,4,08,10,2017,40
3.82,23,55,22,AM 2,2660099,Les Fondamentaux Campus,1,13/09/2017,3.82,23,55,22,1,13,09,2017,37
15.340000000000005,27,122,34,AM 2,2660099,Les Fondamentaux Campus,1,26/09/2017,19.160000000000004,50,177,56,2,26,09,2017,39
4.4,12,41,27,AM 2,2660099,Les Fondamentaux Campus,1,27/09/2017,23.56,62,218,83,3,27,09,2017,39
6.76,9,47,13,AM 2,2660099,Les Fondamentaux Campus,1,02/10/2017,30.32,71,265,96,4,02,10,2017,40
