trid,encl,co2,trmt,temp,yr,gr,rh
21,4,900,4.5,6.567356245,2013_14,-19,-23.81780384
65,4,900,4.5,6.567356245,2013_14,-41,-23.81780384
113,4,900,4.5,6.567356245,2013_14,-52,-23.81780384
134,4,900,4.5,6.567356245,2013_14,22,-23.81780384
192,4,900,4.5,6.567356245,2013_14,-21,-23.81780384
236,4,900,4.5,6.567356245,2013_14,-22,-23.81780384
6,4,900,4.5,6.567356245,2013_14,-31,-23.81780384
35,4,900,4.5,6.567356245,2013_14,-17,-23.81780384
197,4,900,4.5,6.567356245,2013_14,-15,-23.81780384
286,4,900,4.5,6.567356245,2013_14,-31,-23.81780384
78,4,900,4.5,6.567356245,2013_14,-37,-23.81780384
131,4,900,4.5,6.567356245,2013_14,-25,-23.81780384
330,4,900,4.5,6.567356245,2013_14,-30,-23.81780384
105,4,900,4.5,6.567356245,2013_14,-41,-23.81780384
176,4,900,4.5,6.567356245,2013_14,-47,-23.81780384
186,4,900,4.5,6.567356245,2013_14,-27,-23.81780384
246,4,900,4.5,6.567356245,2013_14,-43,-23.81780384
254,4,900,4.5,6.567356245,2013_14,-20,-23.81780384
278,4,900,4.5,6.567356245,2013_14,-15,-23.81780384
44,4,900,4.5,6.567356245,2013_14,-55,-23.81780384
181,4,900,4.5,6.567356245,2013_14,-32,-23.81780384
70,4,900,4.5,6.567356245,2013_14,-41,-23.81780384
215,4,900,4.5,6.567356245,2013_14,-32,-23.81780384
256,4,900,4.5,6.567356245,2013_14,-19,-23.81780384
283,4,900,4.5,6.567356245,2013_14,-32,-23.81780384
8,5,450,-2.25,0,2013_14,-61,0
154,5,450,-2.25,0,2013_14,-3,0
160,5,450,-2.25,0,2013_14,-24,0
173,5,450,-2.25,0,2013_14,-79,0
280,5,450,-2.25,0,2013_14,-52,0
351,5,450,-2.25,0,2013_14,-35,0
10,5,450,-2.25,0,2013_14,-77,0
124,5,450,-2.25,0,2013_14,-52,0
221,5,450,-2.25,0,2013_14,-42,0
328,5,450,-2.25,0,2013_14,-11,0
3,5,450,-2.25,0,2013_14,-29,0
93,5,450,-2.25,0,2013_14,-17,0
94,5,450,-2.25,0,2013_14,-32,0
273,5,450,-2.25,0,2013_14,-33,0
68,5,450,-2.25,0,2013_14,-22,0
175,5,450,-2.25,0,2013_14,-45,0
270,5,450,-2.25,0,2013_14,-26,0
279,5,450,-2.25,0,2013_14,-22,0
55,5,450,-2.25,0,2013_14,-27,0
281,5,450,-2.25,0,2013_14,-44,0
348,5,450,-2.25,0,2013_14,-33,0
147,5,450,-2.25,0,2013_14,-26,0
149,5,450,-2.25,0,2013_14,-56,0
312,5,450,-2.25,0,2013_14,-20,0
338,5,450,-2.25,0,2013_14,-24,0
26,6,450,0,2.218786102,2013_14,-43,-3.227030368
101,6,450,0,2.218786102,2013_14,-14,-3.227030368
329,6,450,0,2.218786102,2013_14,-48,-3.227030368
140,6,450,0,2.218786102,2013_14,-33,-3.227030368
325,6,450,0,2.218786102,2013_14,-23,-3.227030368
335,6,450,0,2.218786102,2013_14,-16,-3.227030368
13,6,450,0,2.218786102,2013_14,-32,-3.227030368
17,6,450,0,2.218786102,2013_14,-51,-3.227030368
64,6,450,0,2.218786102,2013_14,-39,-3.227030368
139,6,450,0,2.218786102,2013_14,-32,-3.227030368
