sep=,
"Date","Entrees"
"01/11/2018 00:00",0
"01/11/2018 00:30",0
"01/11/2018 01:00",0
"01/11/2018 01:30",0
"01/11/2018 02:00",0
"01/11/2018 02:30",0
"01/11/2018 03:00",0
"01/11/2018 03:30",0
"01/11/2018 04:00",0
"01/11/2018 04:30",0
"01/11/2018 05:00",0
"01/11/2018 05:30",0
"01/11/2018 06:00",0
"01/11/2018 06:30",0
"01/11/2018 07:00",0
"01/11/2018 07:30",0
"01/11/2018 08:00",0
"01/11/2018 08:30",0
"01/11/2018 09:00",15
"01/11/2018 09:30",2330
"01/11/2018 10:00",2166
"01/11/2018 10:30",2977
"01/11/2018 11:00",2055
"01/11/2018 11:30",2123
"01/11/2018 12:00",2175
"01/11/2018 12:30",1793
"01/11/2018 13:00",1865
"01/11/2018 13:30",2043
"01/11/2018 14:00",1854
"01/11/2018 14:30",2340
"01/11/2018 15:00",2902
"01/11/2018 15:30",2677
"01/11/2018 16:00",2127
"01/11/2018 16:30",1979
"01/11/2018 17:00",1327
"01/11/2018 17:30",663
"01/11/2018 18:00",81
"01/11/2018 18:30",470
"01/11/2018 19:00",0
"01/11/2018 19:30",0
"01/11/2018 20:00",0
"01/11/2018 20:30",0
"01/11/2018 21:00",0
"01/11/2018 21:30",0
"01/11/2018 22:00",0
"01/11/2018 22:30",0
"01/11/2018 23:00",0
"01/11/2018 23:30",0
"02/11/2018 00:00",0
"02/11/2018 00:30",0
"02/11/2018 01:00",0
"02/11/2018 01:30",0
"02/11/2018 02:00",0
"02/11/2018 02:30",0
"02/11/2018 03:00",0
"02/11/2018 03:30",0
"02/11/2018 04:00",0
"02/11/2018 04:30",0
"02/11/2018 05:00",0
"02/11/2018 05:30",0
"02/11/2018 06:00",0
"02/11/2018 06:30",0
"02/11/2018 07:00",0
"02/11/2018 07:30",0
"02/11/2018 08:00",0
"02/11/2018 08:30",0
"02/11/2018 09:00",25
"02/11/2018 09:30",2283
"02/11/2018 10:00",2665
"02/11/2018 10:30",2884
"02/11/2018 11:00",2328
"02/11/2018 11:30",2313
"02/11/2018 12:00",2555
"02/11/2018 12:30",1968
"02/11/2018 13:00",1636
"02/11/2018 13:30",1697
"02/11/2018 14:00",2176
"02/11/2018 14:30",1828
"02/11/2018 15:00",2205
"02/11/2018 15:30",1948
"02/11/2018 16:00",1726
"02/11/2018 16:30",1902
"02/11/2018 17:00",1638
"02/11/2018 17:30",1401
"02/11/2018 18:00",1445
"02/11/2018 18:30",1316
"02/11/2018 19:00",1359
"02/11/2018 19:30",941
"02/11/2018 20:00",708
"02/11/2018 20:30",573
"02/11/2018 21:00",255
"02/11/2018 21:30",167
"02/11/2018 22:00",42
"02/11/2018 22:30",0
"02/11/2018 23:00",0
"02/11/2018 23:30",0
"03/11/2018 00:00",0
"03/11/2018 00:30",0
