date;year;month;week;day;institution;entrees;sorties;visiteurs;sumentrees;sumsorties;sumvisiteurs;Totalentrees
2018-09-01;2018;9;35;1;BU Bron;0;0;0.0;0;0;0.0;215213
2018-09-02;2018;9;35;2;BU Bron;0;0;0.0;0;0;0.0;215213
2018-09-03;2018;9;36;3;BU Bron;172;172;7.6111;172;172;7.6111;215213
2018-09-04;2018;9;36;4;BU Bron;197;197;10.5;369;369;18.1111;215213
2018-09-05;2018;9;36;5;BU Bron;193;193;12.2222;562;562;30.3333;215213
2018-09-06;2018;9;36;6;BU Bron;433;433;26.0;995;995;56.3333;215213
2018-09-07;2018;9;36;7;BU Bron;384;384;17.5556;1379;1379;73.8889;215213
2018-09-08;2018;9;36;8;BU Bron;0;0;0.0;1379;1379;73.8889;215213
2018-09-09;2018;9;36;9;BU Bron;0;0;0.0;1379;1379;73.8889;215213
2018-09-10;2018;9;37;10;BU Bron;447;447;16.3889;1826;1826;90.27780000000001;215213
2018-09-11;2018;9;37;11;BU Bron;581;581;26.0556;2407;2407;116.33340000000001;215213
2018-09-12;2018;9;37;12;BU Bron;542;542;27.6111;2949;2949;143.9445;215213
2018-09-13;2018;9;37;13;BU Bron;493;493;26.3333;3442;3442;170.2778;215213
2018-09-14;2018;9;37;14;BU Bron;302;302;19.6111;3744;3744;189.8889;215213
2018-09-15;2018;9;37;15;BU Bron;0;0;0.0;3744;3744;189.8889;215213
2018-09-16;2018;9;37;16;BU Bron;0;0;0.0;3744;3744;189.8889;215213
2018-09-17;2018;9;38;17;BU Bron;1863;1863;108.0909;5607;5607;297.9798;215213
2018-09-18;2018;9;38;18;BU Bron;2190;2190;128.1364;7797;7797;426.11620000000005;215213
2018-09-19;2018;9;38;19;BU Bron;1887;1887;129.8182;9684;9684;555.9344000000001;215213
2018-09-20;2018;9;38;20;BU Bron;1716;1716;121.7727;11400;11400;677.7071000000001;215213
2018-09-21;2018;9;38;21;BU Bron;950;950;58.0;12350;12350;735.7071000000001;215213
2018-09-22;2018;9;38;22;BU Bron;0;0;0.0;12350;12350;735.7071000000001;215213
2018-09-23;2018;9;38;23;BU Bron;0;0;0.0;12350;12350;735.7071000000001;215213
2018-09-24;2018;9;39;24;BU Bron;2706;2706;212.6818;15056;15056;948.3889000000001;215213
2018-09-25;2018;9;39;25;BU Bron;2794;2794;221.4091;17850;17850;1169.7980000000002;215213
2018-09-26;2018;9;39;26;BU Bron;2612;2612;216.9091;20462;20462;1386.7071000000003;215213
2018-09-27;2018;9;39;27;BU Bron;2409;2409;204.5909;22871;22871;1591.2980000000002;215213
2018-09-28;2018;9;39;28;BU Bron;1268;1268;103.2727;24139;24139;1694.5707000000002;215213
2018-09-29;2018;9;39;29;BU Bron;0;0;0.0;24139;24139;1694.5707000000002;215213
2018-09-30;2018;9;39;30;BU Bron;0;0;0.0;24139;24139;1694.5707000000002;215213
2018-10-01;2018;10;40;1;BU Bron;3333;3333;299.0;27472;27472;1993.5707000000002;215213
2018-10-02;2018;10;40;2;BU Bron;3622;3622;303.3182;31094;31094;2296.8889000000004;215213
2018-10-03;2018;10;40;3;BU Bron;3287;3287;291.5455;34381;34381;2588.4344000000006;215213
2018-10-04;2018;10;40;4;BU Bron;2823;2823;252.2273;37204;37204;2840.6617000000006;215213
2018-10-05;2018;10;40;5;BU Bron;1429;1429;127.9545;38633;38633;2968.6162000000004;215213
2018-10-06;2018;10;40;6;BU Bron;0;0;0.0;38633;38633;2968.6162000000004;215213
2018-10-07;2018;10;40;7;BU Bron;0;0;0.0;38633;38633;2968.6162000000004;215213
2018-10-08;2018;10;41;8;BU Bron;3089;3089;275.7727;41722;41722;3244.3889000000004;215213
2018-10-09;2018;10;41;9;BU Bron;3235;3235;268.6818;44957;44957;3513.0707;215213
2018-10-10;2018;10;41;10;BU Bron;3025;3025;294.7273;47982;47982;3807.7980000000002;215213
2018-10-11;2018;10;41;11;BU Bron;2631;2631;238.1364;50613;50613;4045.9344;215213
2018-10-12;2018;10;41;12;BU Bron;1482;1482;132.3636;52095;52095;4178298;215213
2018-10-13;2018;10;41;13;BU Bron;0;0;0.0;52095;52095;4178298;215213
2018-10-14;2018;10;41;14;BU Bron;0;0;0.0;52095;52095;4178298;215213
2018-10-15;2018;10;42;15;BU Bron;2942;2942;252.3636;55037;55037;4430.661599999999;215213
2018-10-16;2018;10;42;16;BU Bron;3338;3338;284.7727;58375;58375;4715.434299999999;215213
2018-10-17;2018;10;42;17;BU Bron;3213;3213;268.3182;61588;61588;4983.752499999999;215213
2018-10-18;2018;10;42;18;BU Bron;2673;2673;237.2727;64261;64261;5221.025199999998;215213
2018-10-19;2018;10;42;19;BU Bron;1414;1414;114.4091;65675;65675;5335.434299999998;215213
2018-10-20;2018;10;42;20;BU Bron;0;0;0.0;65675;65675;5335.434299999998;215213
2018-10-21;2018;10;42;21;BU Bron;0;0;0.0;65675;65675;5335.434299999998;215213
2018-10-22;2018;10;43;22;BU Bron;3186;3186;289.0909;68861;68861;5624.525199999998;215213
2018-10-23;2018;10;43;23;BU Bron;3415;3415;295.2727;72276;72276;5919.797899999998;215213
2018-10-24;2018;10;43;24;BU Bron;3225;3225;284.6364;75501;75501;6204.434299999998;215213
2018-10-25;2018;10;43;25;BU Bron;2808;2808;239.9545;78309;78309;6444.388799999998;215213
2018-10-26;2018;10;43;26;BU Bron;1370;1370;101.0455;79679;79679;6545.434299999998;215213
2018-10-27;2018;10;43;27;BU Bron;0;0;0.0;79679;79679;6545.434299999998;215213
2018-10-28;2018;10;43;28;BU Bron;0;0;0.0;79679;79679;6545.434299999998;215213
2018-10-29;2018;10;44;29;BU Bron;224;224;31.7222;79903;79903;6577.156499999998;215213
2018-10-30;2018;10;44;30;BU Bron;197;197;25.9444;80100;80100;6603.100899999999;215213
2018-10-31;2018;10;44;31;BU Bron;234;234;27.3889;80334;80334;6630.4897999999985;215213
