Date;BU Rockefeller;BU Sciences Doua;BU Lyon-Sud;BU Croix-Rousse;BU Odontologie;Sciences Po Lyon;BU Chevreul;BU Bron;Bib Marie Curie;BU Manufacture - Lyon 3;Learning Hub Lyon - Ecully;maker's lab Lyon - Ecully;Bib Michel Serres;atelier makers' lab Lyon - Ecully;total
01/09/2018;0;0;0;0;0;0;0;0;0;0;15;3;0;0;18
02/09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/09/2018;1915;1126;395;181;21;289;710;172;279;1446;294;129;143;0;7100
04/09/2018;2151;1810;456;145;17;232;782;197;697;1618;1077;64;143;0;9389
05/09/2018;2669;1177;393;320;21;228;732;193;359;1853;864;81;152;0;9042
06/09/2018;2557;1292;577;145;23;265;883;433;257;1918;375;73;129;0;8927
07/09/2018;2232;1111;419;104;22;0;873;384;279;1742;564;74;90;0;7894
08/09/2018;0;0;0;72;0;0;0;0;0;0;23;0;0;0;95
09/09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/09/2018;2823;2413;513;248;58;349;1137;447;0;3455;824;394;179;3;12843
11/09/2018;3063;2522;727;219;48;306;1225;581;515;2934;1058;368;234;19;13819
12/09/2018;2767;2021;828;399;29;340;1150;542;455;3782;467;27;187;0;12994
13/09/2018;4028;2275;891;215;38;403;1200;493;458;2754;309;78;194;0;13336
14/09/2018;3547;2111;967;171;39;253;1031;302;545;2666;540;247;142;0;12561
15/09/2018;2047;0;312;34;0;0;0;0;46;0;133;362;0;92;3026
16/09/2018;1458;0;0;0;0;0;0;0;0;0;0;0;0;0;1458
17/09/2018;4085;3628;1104;288;191;474;2287;1863;911;4851;837;446;252;0;21217
18/09/2018;4219;3669;1069;346;131;577;2511;2190;1281;5235;931;192;295;0;22646
19/09/2018;4312;3239;954;647;121;501;2695;1887;1540;5057;846;92;243;14;22148
20/09/2018;4226;3077;814;359;147;445;2691;1716;1235;4568;821;132;217;9;20457
21/09/2018;3245;2706;517;308;46;319;2092;950;1119;4005;896;111;227;0;16541
22/09/2018;2185;1611;186;37;0;0;1102;0;321;815;67;1;20;0;6345
23/09/2018;1378;1845;0;0;0;0;872;0;0;0;0;0;0;0;4095
24/09/2018;4559;4281;591;622;152;697;3240;2706;1349;6277;1374;574;304;16;26742
25/09/2018;4744;4344;621;622;265;723;3309;2794;119;6478;1242;280;321;0;25862
26/09/2018;4690;3940;592;693;141;650;3225;2612;54;6317;992;148;237;0;24291
