Date;BU Rockefeller;BU Sciences Doua;BU Lyon-Sud;BU Croix-Rousse;BU Odontologie;Sciences Po Lyon;BU Chevreul;BU Bron;Bib Marie Curie;BU Manufacture - Lyon 3;Learning Hub Lyon - Ecully;maker's lab Lyon - Ecully;Bib Michel Serres;atelier makers' lab Lyon - Ecully;total
01/09/2018;0;0;0;0;0;0;0;0;0;0;1.0769;0;0;0;1.0769
02/09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
03/09/2018;189.25;77.3;34.3333;7.3182;1.6;15.5714;72.2222;7.6111;12.3889;53.5217;13.8621;6.0345;6.2083;0;497.2217
04/09/2018;213.1;107.1;35.7222;6.9091;0.5;20.2857;76.2222;10.5;37.6667;86.4348;34.7586;0.1724;3125;0;632.4967
05/09/2018;125.8;93.6;35.9444;21.5909;2.4;17.5714;73.3889;12.2222;12.8889;146.7826;36.1379;0.6897;6.5;0;585.5169
06/09/2018;276.9;121.55;34.8667;10.4091;1.2;18.8571;79.8333;26;7.5;156.6522;16.1379;0.4828;7.0417;0;757.4307999999999
07/09/2018;201.45;101.35;23.7333;7;1.9;0;69.8333;17.5556;22375;129.6087;12.9655;0.2759;4.5;0;592.5473
08/09/2018;0;0;0;10.5714;0;0;0;0;0;0;1.3077;0;0;0;11.879100000000001
09/09/2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10/09/2018;329.95;202.1;24.6667;18.2273;9.7;34913;125.5556;16.3889;0;268.2609;59.3793;21069;5.4167;69;1115.6964
11/09/2018;360.2;208.8;41.6667;8.3636;5.5;25.8261;106.3889;26.0556;35.7727;243913;50.8621;15.7586;11.4167;0;1140.5240000000001
12/09/2018;324.45;202.45;47.4;31.5;1.4;21.0435;117.4444;27.6111;44.9091;346.2174;29.6897;0.3448;10.4167;0;1204.8766999999998
13/09/2018;364.6;253.9;61.3333;15.8182;8.3;29.8261;120.8333;26.3333;47.3182;180.2174;19.9655;0.3793;10.75;0;1139.5746000000001
14/09/2018;296.5333;184.1;53.5667;13.8;1;22.45;94.0556;19.6111;19.5455;214.7391;57.2759;4.3793;7.0833;0;988.1397999999998
15/09/2018;245.0417;0;22.0909;6;0;0;0;0;13.75;0;12.9231;6.0769;0;0;305.88259999999997
16/09/2018;220.9091;0;0;0;0;0;0;0;0;0;0;0;0;0;220.9091
17/09/2018;351.6667;258.1667;59.1333;25;17.8889;34.3043;172.2308;108.0909;48.6429;369.3793;43.1379;6.5862;9;0;1503.2278999999999
18/09/2018;376.7;294.9333;67.6333;24.5;14.4444;34087;188.7692;128.1364;54.7143;341.2759;45.5862;1.4483;14.9167;95.3448;1682.4898
19/09/2018;356.6667;252.7;65.5667;57.5455;13.8889;42.5652;208.4231;129.8182;23.1429;317.6897;56.5862;1.8621;12.5;0.2414;1539.1966
20/09/2018;355.7;263.8333;46.7333;25.1818;15.8889;25.3913;238.5385;121.7727;81.7143;356.4138;46.6897;1;14.5833;0;1593.4409
21/09/2018;263.9333;219.5667;19.7667;23.45;1.9444;17.55;176.1923;58;68.7143;222.4138;27.3448;1;13.9167;0;1113793
22/09/2018;264.9167;254.4091;16.5;5.7143;0;0;148.5556;0;22.3333;126.5882;7.8462;0;0.5385;0;847.4019
23/09/2018;193.2273;275.4091;0;0;0;0;136.0556;0;0;0;0;0;0;0;604692
24/09/2018;352.5;352.2667;27.0667;51.5909;15.9444;59.1304;269.7692;212.6818;90.75;510.7586;73.2759;32.3793;19875;0;2067.9889000000003
25/09/2018;371.4667;359.9667;34.5333;45.3636;27.1667;57.4348;284.4231;221.4091;-2.3571;464.1034;80.1379;8.5862;20875;0;1973.1093999999998
26/09/2018;377.0333;340.7333;33.6;54.0455;8.8333;38.6522;285.2692;216.9091;1.8571;508.4138;59.5862;6.0345;14.5833;0;1945.5508
27/09/2018;394;341.7667;26.2333;43.7273;6.8889;42.4783;267.3077;204.5909;-28.25;404.4138;47.4138;0.8621;19.2083;0;1770.6411
28/09/2018;319.7;243.9333;26.4667;27.6;7.1667;29.65;211.3077;103.2727;9.5357;291.7586;37.6207;1.7241;13.3333;0;1323.0694999999998
29/09/2018;333.0417;255.7727;26.1364;8.7143;0;0;183.7778;0;0.8333;160.7647;6.3077;0;5.2308;0;980.5794
30/09/2018;245.7273;315.9091;0;0;0;0;199.8889;0;0;0;0;0;0;0;761.5253000000001
01/10/2018;258.2222;286.2778;28;48.5833;27.1;57.6957;326.8462;299;-6.1786;601.5517;79.4828;8.2414;18.4167;0;2033.2392000000002
02/10/2018;417.7667;436.1333;50.6;51.6364;22.45;0;336.0769;303.3182;106.7857;595.6552;94069;10.3793;21.6667;4.3448;2450.8822
03/10/2018;379.0333;411.3333;32.9667;58.5909;24.25;61.9565;317.3846;291.5455;103.8929;535.4138;80.1034;6.7586;17.5;0;2320.7295000000004
04/10/2018;377.6333;359.8333;38.6;44.6364;11.4;61.3125;315.3462;252.2273;92.3571;526;71.2414;4.5172;13.2083;0.4138;2168.726799999999
05/10/2018;335.9;271.6667;15.5172;37.45;8.3333;38.2;256.6538;127.9545;76.6071;363931;52931;8.0345;8.0417;0;1601.2208
06/10/2018;347.2917;326.9545;25.5455;9;0;0;215.2222;0;62.5556;82.3529;15.2308;0;1.6154;0;1085.7685999999999
07/10/2018;259.4545;373.3636;0;0;0;0;190.5;0;0;0;0;0;0;0;823.3181
08/10/2018;392.7667;413.0333;46.1667;49.5;32.25;70.1739;357.3846;275.7727;97.1786;577.2759;59069;17.3103;15.8333;0;2403.7149999999997
09/10/2018;408.1333;420.3667;46.2;41.4545;16.8;92.1739;362.6154;268.6818;121.2143;577.8276;86.7586;6.2414;19.1667;0;2467.6342000000004
10/10/2018;341.3667;362.7333;50.1;67.5;22.15;56.2609;346.5385;294.7273;77.5714;514.7931;71.5172;8.0345;19.9583;10.8276;2244.0788
11/10/2018;346.9;392.5667;46.1667;13.1818;17.4;67.7826;331.8846;238.1364;118.6429;562.8966;60.7241;4.3103;9.5833;1.2414;2211.4174
12/10/2018;346.2;280.8333;55.3;35.3;13.9444;46.05;267.1538;132.3636;76.25;369.3448;51.0345;9.5862;8.8333;6.1034;1698.2972999999997
13/10/2018;268.2083;334.2727;33.8636;0;0;0;237.9444;0;92.9444;177.3529;10.6154;0;4.2308;0;1159.4325
14/10/2018;254.5455;428.9545;0;0;0;0;246.7222;0;0;0;0;0;0;0;930.2221999999999
15/10/2018;386.2;421.8;0;0;37;72.5652;329.8077;252.3636;88.6071;574.6897;88.4138;36.0345;20.7917;0;2308.2733000000003
16/10/2018;365.3;476.9;0;0;18.95;81.8261;340.3846;284.7727;127;514.2069;84.7586;12.8621;21.7083;0;2328.6693
17/10/2018;383.0667;426.9667;0;0;15.1;58087;338.6154;268.3182;0;517.1379;87.9655;16.8276;19625;0;2131.71
18/10/2018;364.1333;417.6667;0;0;16.5;74.6087;323.3846;237.2727;99.8214;533.2069;64.0345;5.7931;9.8333;0;2146.2551999999996
19/10/2018;293.6333;311.6333;0;0;15.1111;35.9;279.4615;114.4091;63.6071;359.6207;47;11.5172;10.4583;0;1542.3516
20/10/2018;287.4167;407.8182;0;0;0;0;256.0556;0;92.4444;187.5294;15.3077;0;6.2308;0;1252.8028
21/10/2018;279.7273;448.8182;0;0;0;0;0;0;0;0;0;0;0;0;728.5455
22/10/2018;403;485.4667;56.6667;0;27.05;68.4348;358.8462;289.0909;118.7143;605.2069;86.3448;10.9655;25.3333;0;2535.120099999999
23/10/2018;405.5667;483.3667;46.2333;0;20.85;92.6522;352.2692;295.2727;139.5357;603.8276;83.9655;48.9655;16875;0;2589.3800999999994
24/10/2018;388.4;423.2;48.3667;0;16.6;71.4348;334.8846;284.6364;105.8214;551.8966;63.5172;6.3448;11.4167;0;2306.5192
25/10/2018;379.8667;416.3;45.2;46.4545;22.5;47.8261;344.8846;239.9545;83.75;564.4138;43.8276;3.3103;9.2083;0;2247.4964
