sep=,
"Date","Visiteurs presents BU Rockefeller","Visiteurs presents BU Sciences Doua","Visiteurs presents BU Lyon-Sud","Visiteurs presents BU Croix-Rousse","Visiteurs presents BU Odontologie","Visiteurs presents Sciences Po Lyon","Visiteurs presents BU Chevreul","Visiteurs presents BU Bron","Visiteurs presents Bib Marie Curie","Visiteurs presents BU Manufacture - Lyon 3","Visiteurs presents Learning Hub Lyon - Ecully","Visiteurs presents maker's lab Lyon - Ecully","Visiteurs presents Bib Michel Serres","Visiteurs presents atelier makers' lab Lyon - Ecully","Visiteurs presents total","Entrees BU Rockefeller","Entrees BU Sciences Doua","Entrees BU Lyon-Sud","Entrees BU Croix-Rousse","Entrees BU Odontologie","Entrees Sciences Po Lyon","Entrees BU Chevreul","Entrees BU Bron","Entrees Bib Marie Curie","Entrees BU Manufacture - Lyon 3","Entrees Learning Hub Lyon - Ecully","Entrees maker's lab Lyon - Ecully","Entrees Bib Michel Serres","Entrees atelier makers' lab Lyon - Ecully","Entrees total","Sorties BU Rockefeller","Sorties BU Sciences Doua","Sorties BU Lyon-Sud","Sorties BU Croix-Rousse","Sorties BU Odontologie","Sorties Sciences Po Lyon","Sorties BU Chevreul","Sorties BU Bron","Sorties Bib Marie Curie","Sorties BU Manufacture - Lyon 3","Sorties Learning Hub Lyon - Ecully","Sorties maker's lab Lyon - Ecully","Sorties Bib Michel Serres","Sorties atelier makers' lab Lyon - Ecully","Sorties total"
"01/09/2018",0,0,0,0,0,0,0,0,0,0,1.0769,0,0,0,1.0769,0,0,0,0,0,0,0,0,0,0,15,3,0,0,18,0,0,0,0,0,0,0,0,0,0,15,3,0,0,18
"02/09/2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"03/09/2018",189.25,77.3,34.3333,7.3182,1.6,15.5714,72.2222,7.6111,12.3889,53.5217,13.8621,6.0345,6.2083,0,497.2217,1915,1126,395,181,21,289,710,172,280,1446,294,129,143,0,7101,1915,1126,395,181,21,289,710,172,279,1446,294,129,143,0,7100
"04/09/2018",213.1,107.1,35.7222,6.9091,0.5,20.2857,76.2222,10.5,37.6667,86.4348,34.7586,0.1724,3.125,0,632.4967,2151,1810,456,145,17,232,782,197,708,1618,1077,64,143,0,9400,2151,1810,456,145,17,232,782,197,697,1618,1077,64,143,0,9389
"05/09/2018",125.8,93.6,35.9444,21.5909,2.4,17.5714,73.3889,12.2222,12.8889,146.7826,36.1379,0.6897,6.5,0,585.5169,2669,1177,393,320,21,228,732,193,349,1853,864,81,152,0,9032,2669,1177,393,320,21,228,732,193,359,1853,864,81,152,0,9042
"06/09/2018",276.9,121.55,34.8667,10.4091,1.2,18.8571,79.8333,26,7.5,156.6522,16.1379,0.4828,7.0417,0,757.4307999999999,2557,1292,577,145,23,265,883,433,254,1918,375,73,129,0,8924,2557,1292,577,145,23,265,883,433,257,1918,375,73,129,0,8927
"07/09/2018",201.45,101.35,23.7333,7,1.9,0,69.8333,17.5556,22.375,129.6087,12.9655,0.2759,4.5,0,592.5473,2232,1111,419,104,22,0,873,384,283,1742,564,74,90,0,7898,2232,1111,419,104,22,0,873,384,279,1742,564,74,90,0,7894
"08/09/2018",0,0,0,10.5714,0,0,0,0,0,0,1.3077,0,0,0,11.879100000000001,0,0,0,72,0,0,0,0,0,0,23,0,0,0,95,0,0,0,72,0,0,0,0,0,0,23,0,0,0,95
"09/09/2018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10/09/2018",329.95,202.1,24.6667,18.2273,9.7,34.913,125.5556,16.3889,0,268.2609,59.3793,21.069,5.4167,0.069,1115.6964,2823,2413,513,248,58,349,1137,447,0,3455,824,394,179,3,12843,2823,2413,513,248,58,349,1137,447,0,3455,824,394,179,3,12843
"11/09/2018",360.2,208.8,41.6667,8.3636,5.5,25.8261,106.3889,26.0556,35.7727,243.913,50.8621,15.7586,11.4167,0,1140.5240000000001,3063,2522,727,219,48,306,1225,581,557,2934,1058,368,234,19,13861,3063,2522,727,219,48,306,1225,581,515,2934,1058,368,234,19,13819
"12/09/2018",324.45,202.45,47.4,31.5,1.4,21.0435,117.4444,27.6111,44.9091,346.2174,29.6897,0.3448,10.4167,0,1204.8766999999998,2767,2021,828,399,29,340,1150,542,512,3782,467,27,187,0,13051,2767,2021,828,399,29,340,1150,542,455,3782,467,27,187,0,12994
"13/09/2018",364.6,253.9,61.3333,15.8182,8.3,29.8261,120.8333,26.3333,47.3182,180.2174,19.9655,0.3793,10.75,0,1139.5746000000001,4028,2275,891,215,38,403,1200,493,504,2754,309,78,194,0,13382,4028,2275,891,215,38,403,1200,493,458,2754,309,78,194,0,13336
"14/09/2018",296.5333,184.1,53.5667,13.8,1,22.45,94.0556,19.6111,19.5455,214.7391,57.2759,4.3793,7.0833,0,988.1397999999998,3547,2111,967,171,39,253,1031,302,543,2666,540,247,142,0,12559,3547,2111,967,171,39,253,1031,302,545,2666,540,247,142,0,12561
"15/09/2018",245.0417,0,22.0909,6,0,0,0,0,13.75,0,12.9231,6.0769,0,0,305.88259999999997,2047,0,312,34,0,0,0,0,76,0,133,362,0,92,3056,2047,0,312,34,0,0,0,0,46,0,133,362,0,92,3026
"16/09/2018",220.9091,0,0,0,0,0,0,0,0,0,0,0,0,0,220.9091,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,1458
"17/09/2018",351.6667,258.1667,59.1333,25,17.8889,34.3043,172.2308,108.0909,48.6429,369.3793,43.1379,6.5862,9,0,1503.2278999999999,4085,3628,1104,288,191,474,2287,1863,947,4851,837,446,252,0,21253,4085,3628,1104,288,191,474,2287,1863,911,4851,837,446,252,0,21217
"18/09/2018",376.7,294.9333,67.6333,24.5,14.4444,34.087,188.7692,128.1364,54.7143,341.2759,45.5862,1.4483,14.9167,95.3448,1682.4898,4219,3669,1069,346,131,577,2511,2190,1287,5235,931,192,295,185,22837,4219,3669,1069,346,131,577,2511,2190,1281,5235,931,192,295,0,22646
"19/09/2018",356.6667,252.7,65.5667,57.5455,13.8889,42.5652,208.4231,129.8182,23.1429,317.6897,56.5862,1.8621,12.5,0.2414,1539.1966,4312,3239,954,647,121,501,2695,1887,1565,5057,846,92,243,14,22173,4312,3239,954,647,121,501,2695,1887,1540,5057,846,92,243,14,22148
"20/09/2018",355.7,263.8333,46.7333,25.1818,15.8889,25.3913,238.5385,121.7727,81.7143,356.4138,46.6897,1,14.5833,0,1593.4409,4226,3077,814,359,147,445,2691,1716,1291,4568,821,132,217,9,20513,4226,3077,814,359,147,445,2691,1716,1235,4568,821,132,217,9,20457
"21/09/2018",263.9333,219.5667,19.7667,23.45,1.9444,17.55,176.1923,58,68.7143,222.4138,27.3448,1,13.9167,0,1113.793,3245,2706,517,308,46,319,2092,950,1149,4005,896,111,227,0,16571,3245,2706,517,308,46,319,2092,950,1119,4005,896,111,227,0,16541
"22/09/2018",264.9167,254.4091,16.5,5.7143,0,0,148.5556,0,22.3333,126.5882,7.8462,0,0.5385,0,847.4019,2185,1611,186,37,0,0,1102,0,302,815,67,1,20,0,6326,2185,1611,186,37,0,0,1102,0,321,815,67,1,20,0,6345
"23/09/2018",193.2273,275.4091,0,0,0,0,136.0556,0,0,0,0,0,0,0,604.692,1378,1845,0,0,0,0,872,0,0,0,0,0,0,0,4095,1378,1845,0,0,0,0,872,0,0,0,0,0,0,0,4095
"24/09/2018",352.5,352.2667,27.0667,51.5909,15.9444,59.1304,269.7692,212.6818,90.75,510.7586,73.2759,32.3793,19.875,0,2067.9889000000003,4559,4281,591,622,152,697,3240,2706,1441,6277,1374,574,304,16,26834,4559,4281,591,622,152,697,3240,2706,1349,6277,1374,574,304,16,26742
"25/09/2018",371.4667,359.9667,34.5333,45.3636,27.1667,57.4348,284.4231,221.4091,-2.3571,464.1034,80.1379,8.5862,20.875,0,1973.1093999999998,4744,4344,621,622,265,723,3309,2794,114,6478,1242,280,321,0,25857,4744,4344,621,622,265,723,3309,2794,119,6478,1242,280,321,0,25862
