sep=,
"Date","Temps de presence moyen"
"01/09/2018",0
"02/09/2018",0
"03/09/2018",37
"04/09/2018",32
"05/09/2018",43
"06/09/2018",51
"07/09/2018",49
"08/09/2018",0
"09/09/2018",0
"10/09/2018",45
"11/09/2018",45
"12/09/2018",54
"13/09/2018",60
"14/09/2018",47
"15/09/2018",0
"16/09/2018",0
"17/09/2018",60
"18/09/2018",68
"19/09/2018",66
"20/09/2018",72
"21/09/2018",68
"22/09/2018",95
"23/09/2018",90
"24/09/2018",69
"25/09/2018",70
"26/09/2018",73
"27/09/2018",73
"28/09/2018",66
"29/09/2018",90
"30/09/2018",85
"01/10/2018",58
"02/10/2018",76
"03/10/2018",78
"04/10/2018",82
"05/10/2018",68
"06/10/2018",87
"07/10/2018",93
"08/10/2018",73
"09/10/2018",68
"10/10/2018",66
"11/10/2018",72
"12/10/2018",73
"13/10/2018",91
"14/10/2018",89
"15/10/2018",71
"16/10/2018",76
"17/10/2018",76
"18/10/2018",78
"19/10/2018",71
"20/10/2018",93
"21/10/2018",91
"22/10/2018",80
"23/10/2018",79
"24/10/2018",78
"25/10/2018",81
"26/10/2018",70
"27/10/2018",94
"28/10/2018",88
"29/10/2018",95
"30/10/2018",93
"31/10/2018",95
"01/11/2018",0
"02/11/2018",101
"03/11/2018",94
"04/11/2018",85
"05/11/2018",80
"06/11/2018",80
"07/11/2018",77
"08/11/2018",80
"09/11/2018",79
"10/11/2018",94
"11/11/2018",0
"12/11/2018",72
"13/11/2018",77
"14/11/2018",77
"15/11/2018",71
"16/11/2018",79
"17/11/2018",99
"18/11/2018",94
"19/11/2018",76
"20/11/2018",82
"21/11/2018",82
"22/11/2018",83
"23/11/2018",17
"24/11/2018",98
"25/11/2018",92
"26/11/2018",85
"27/11/2018",85
"28/11/2018",80
"29/11/2018",82
"30/11/2018",82
"01/12/2018",89
"02/12/2018",92
"03/12/2018",83
"04/12/2018",79
"05/12/2018",85
"06/12/2018",79
"07/12/2018",86
"08/12/2018",82
"09/12/2018",85
"10/12/2018",85
"11/12/2018",83
"12/12/2018",86
"13/12/2018",83
"14/12/2018",102
"15/12/2018",99
"16/12/2018",91
"17/12/2018",86
"18/12/2018",85
"19/12/2018",91
"20/12/2018",88
"21/12/2018",66
"22/12/2018",0
"23/12/2018",0
"24/12/2018",0
"25/12/2018",0
"26/12/2018",0
"27/12/2018",0
"28/12/2018",0
"29/12/2018",0
"30/12/2018",0
"31/12/2018",0
"01/01/2019",0
"02/01/2019",0
"03/01/2019",98
"04/01/2019",98
"05/01/2019",94
"06/01/2019",89
"07/01/2019",85
"08/01/2019",93
"09/01/2019",94
"10/01/2019",98
"11/01/2019",82
"12/01/2019",101
"13/01/2019",98
"14/01/2019",92
"15/01/2019",88
"16/01/2019",91
"17/01/2019",99
"18/01/2019",76
"19/01/2019",102
"20/01/2019",100
"21/01/2019",85
"22/01/2019",79
"23/01/2019",88
"24/01/2019",90
"25/01/2019",80
"26/01/2019",97
"27/01/2019",80
"28/01/2019",76
"29/01/2019",79
"30/01/2019",67
"31/01/2019",81
"01/02/2019",72
"02/02/2019",95
"03/02/2019",99
"04/02/2019",79
"05/02/2019",76
"06/02/2019",77
"07/02/2019",81
"08/02/2019",76
"09/02/2019",94
"10/02/2019",98
"11/02/2019",73
"12/02/2019",67
"13/02/2019",74
"14/02/2019",71
"15/02/2019",65
"16/02/2019",93
"17/02/2019",93
