"Date","reservations","reservations_uniques","reservations_mobile","reservations_web","reservations_portail","reservations_annulees"
"01/09/2018",0,0,0,0,0,0
"02/09/2018",0,0,0,0,0,0
"03/09/2018",8,7,7,1,0,3
"04/09/2018",24,8,6,2,16,2
"05/09/2018",17,14,9,8,0,3
"06/09/2018",18,16,11,7,0,5
"07/09/2018",16,15,7,9,0,4
"08/09/2018",0,0,0,0,0,0
"09/09/2018",0,0,0,0,0,0
"10/09/2018",59,54,35,24,0,15
"11/09/2018",87,70,58,29,0,21
"12/09/2018",75,61,51,24,0,16
"13/09/2018",99,80,63,36,0,25
"14/09/2018",63,52,49,14,0,12
"15/09/2018",0,0,0,0,0,0
"16/09/2018",0,0,0,0,0,0
"17/09/2018",145,122,117,28,0,31
"18/09/2018",153,128,119,34,0,33
"19/09/2018",136,117,98,38,0,35
"20/09/2018",140,124,102,37,1,31
"21/09/2018",102,88,80,22,0,19
"22/09/2018",112,97,69,43,0,21
"23/09/2018",77,63,61,16,0,18
"24/09/2018",208,174,158,50,0,41
"25/09/2018",229,181,178,51,0,43
"26/09/2018",180,159,131,49,0,30
"27/09/2018",208,180,155,53,0,36
"28/09/2018",159,136,122,37,0,33
"29/09/2018",146,122,91,54,1,32
"30/09/2018",138,114,104,34,0,29
"01/10/2018",154,139,108,44,2,28
"02/10/2018",260,219,188,68,4,44
"03/10/2018",269,228,204,60,5,46
"04/10/2018",282,221,192,86,4,67
"05/10/2018",236,192,175,58,3,50
"06/10/2018",150,126,103,47,0,42
"07/10/2018",147,121,94,53,0,31
"08/10/2018",249,220,195,52,2,31
"09/10/2018",296,240,236,60,0,58
"10/10/2018",289,238,212,77,0,55
"11/10/2018",286,233,220,66,0,47
"12/10/2018",216,188,152,64,0,40
"13/10/2018",150,129,101,49,0,28
"14/10/2018",161,144,114,47,0,32
"15/10/2018",262,219,188,74,0,31
"16/10/2018",293,250,214,79,0,35
"17/10/2018",314,248,210,104,0,46
"18/10/2018",268,224,184,83,1,46
"19/10/2018",252,207,174,78,0,42
"20/10/2018",166,138,103,61,2,37
"21/10/2018",178,144,121,57,0,43
"22/10/2018",318,257,226,91,1,47
"23/10/2018",304,253,204,98,2,53
"24/10/2018",312,256,224,88,0,67
"25/10/2018",271,225,184,87,0,53
"26/10/2018",189,162,138,50,1,31
"27/10/2018",123,110,83,40,0,22
"28/10/2018",109,86,68,41,0,26
"29/10/2018",168,143,131,37,0,32
"30/10/2018",204,173,149,55,0,54
"31/10/2018",201,159,136,65,0,53
"01/11/2018",0,0,0,0,0,0
"02/11/2018",228,175,157,70,1,47
"03/11/2018",163,139,100,63,0,30
"04/11/2018",193,158,129,62,2,44
"05/11/2018",291,249,212,78,1,40
