"Date","Visiteurs presents","Entrees","Sorties"
"01/09/2018",0,0,0
"02/09/2018",0,0,0
"03/09/2018",77.3,1126,1126
"04/09/2018",107.1,1810,1810
"05/09/2018",93.6,1177,1177
"06/09/2018",121.55,1292,1292
"07/09/2018",101.35,1111,1111
"08/09/2018",0,0,0
"09/09/2018",0,0,0
"10/09/2018",202.1,2413,2413
"11/09/2018",208.8,2522,2522
"12/09/2018",202.45,2021,2021
"13/09/2018",253.9,2275,2275
"14/09/2018",184.1,2111,2111
"15/09/2018",0,0,0
"16/09/2018",0,0,0
"17/09/2018",258.1667,3628,3628
"18/09/2018",294.9333,3669,3669
"19/09/2018",252.7,3239,3239
"20/09/2018",263.8333,3077,3077
"21/09/2018",219.5667,2706,2706
"22/09/2018",254.4091,1611,1611
"23/09/2018",275.4091,1845,1845
"24/09/2018",352.2667,4281,4281
"25/09/2018",359.9667,4344,4344
"26/09/2018",340.7333,3940,3940
"27/09/2018",341.7667,3952,3952
"28/09/2018",243.9333,3082,3082
"29/09/2018",255.7727,1712,1712
"30/09/2018",315.9091,2235,2235
"01/10/2018",286.2778,2359,2359
"02/10/2018",436.1333,4797,4797
"03/10/2018",411.3333,4448,4448
"04/10/2018",359.8333,3690,3690
"05/10/2018",271.6667,3339,3339
"06/10/2018",326.9545,2243,2243
"07/10/2018",373.3636,2409,2409
"08/10/2018",413.0333,4775,4775
"09/10/2018",420.3667,5186,5186
"10/10/2018",362.7333,4595,4595
"11/10/2018",392.5667,4568,4568
"12/10/2018",280.8333,3233,3233
"13/10/2018",334.2727,2202,2202
"14/10/2018",428.9545,2900,2900
"15/10/2018",421.8,4959,4959
"16/10/2018",476.9,5246,5246
"17/10/2018",426.9667,4705,4705
"18/10/2018",417.6667,4491,4491
"19/10/2018",311.6333,3676,3676
"20/10/2018",407.8182,2635,2635
"21/10/2018",448.8182,2972,2972
"22/10/2018",485.4667,5113,5113
"23/10/2018",483.3667,5142,5142
"24/10/2018",423.2,4533,4533
"25/10/2018",416.3,4292,4292
"26/10/2018",252.4667,3047,3047
"27/10/2018",244.2273,1551,1551
"28/10/2018",258.2727,1762,1762
"29/10/2018",284.2333,2502,2502
"30/10/2018",313.3333,2826,2826
"31/10/2018",308.3333,2739,2739
"01/11/2018",0,0,0
"02/11/2018",382.9,3189,3189
"03/11/2018",413.7727,2648,2648
"04/11/2018",426.1818,3020,3020
