institution,date,entrees,day,month,year,week,sumentrees
joc,01/11/2018,35962,01,11,2018,44,35962
joc,02/11/2018,41984,02,11,2018,44,77946
joc,03/11/2018,29930,03,11,2018,44,107876
joc,04/11/2018,29092,04,11,2018,44,136968
joc,05/11/2018,22184,05,11,2018,45,159152
joc,06/11/2018,0,06,11,2018,45,159152
joc,07/11/2018,26093,07,11,2018,45,185245
joc,08/11/2018,19305,08,11,2018,45,204550
joc,09/11/2018,27565,09,11,2018,45,232115
joc,10/11/2018,29326,10,11,2018,45,261441
joc,11/11/2018,26688,11,11,2018,45,288129
joc,12/11/2018,25813,12,11,2018,46,313942
joc,13/11/2018,0,13,11,2018,46,313942
joc,14/11/2018,21003,14,11,2018,46,334945
joc,15/11/2018,22935,15,11,2018,46,357880
joc,16/11/2018,32804,16,11,2018,46,390684
joc,17/11/2018,25511,17,11,2018,46,416195
joc,18/11/2018,23699,18,11,2018,46,439894
joc,19/11/2018,27921,19,11,2018,47,467815
joc,20/11/2018,0,20,11,2018,47,467815
joc,21/11/2018,32002,21,11,2018,47,499817
joc,22/11/2018,23338,22,11,2018,47,523155
joc,23/11/2018,30072,23,11,2018,47,553227
joc,24/11/2018,26370,24,11,2018,47,579597
joc,25/11/2018,25540,25,11,2018,47,605137
joc,26/11/2018,24680,26,11,2018,48,629817
joc,27/11/2018,0,27,11,2018,48,629817
joc,28/11/2018,25561,28,11,2018,48,655378
joc,29/11/2018,18751,29,11,2018,48,674129
joc,30/11/2018,25456,30,11,2018,48,699585
joc,01/12/2018,18081,01,12,2018,48,717666
joc,02/12/2018,29390,02,12,2018,48,747056
joc,03/12/2018,23393,03,12,2018,49,770449
joc,04/12/2018,0,04,12,2018,49,770449
joc,05/12/2018,26207,05,12,2018,49,796656
joc,06/12/2018,20436,06,12,2018,49,817092
joc,07/12/2018,32302,07,12,2018,49,849394
joc,08/12/2018,0,08,12,2018,49,849394
joc,09/12/2018,24903,09,12,2018,49,874297
joc,10/12/2018,21815,10,12,2018,50,896112
joc,11/12/2018,0,11,12,2018,50,896112
joc,12/12/2018,22011,12,12,2018,50,918123
joc,13/12/2018,18735,13,12,2018,50,936858
joc,14/12/2018,25463,14,12,2018,50,962321
joc,15/12/2018,14710,15,12,2018,50,977031
joc,16/12/2018,21610,16,12,2018,50,998641
joc,17/12/2018,23244,17,12,2018,51,1021885
joc,18/12/2018,0,18,12,2018,51,1021885
joc,19/12/2018,27263,19,12,2018,51,1049148
joc,20/12/2018,20045,20,12,2018,51,1069193
joc,21/12/2018,25759,21,12,2018,51,1094952
joc,22/12/2018,19127,22,12,2018,51,1114079
joc,23/12/2018,25560,23,12,2018,51,1139639
joc,24/12/2018,28297,24,12,2018,52,1167936
joc,25/12/2018,0,25,12,2018,52,1167936
joc,26/12/2018,39147,26,12,2018,52,1207083
joc,27/12/2018,35894,27,12,2018,52,1242977
joc,28/12/2018,48363,28,12,2018,52,1291340
joc,29/12/2018,32950,29,12,2018,52,1324290
joc,30/12/2018,39327,30,12,2018,52,1363617
joc,31/12/2018,38611,31,12,2018,1,1402228
joc,01/01/2019,0,01,01,2019,1,1402228
joc,02/01/2019,46300,02,01,2019,1,1448528
joc,03/01/2019,32346,03,01,2019,1,1480874
joc,04/01/2019,36077,04,01,2019,1,1516951
joc,05/01/2019,32336,05,01,2019,1,1549287
joc,06/01/2019,24238,06,01,2019,1,1573525
joc,07/01/2019,18619,07,01,2019,2,1592144
joc,08/01/2019,0,08,01,2019,2,1592144
joc,09/01/2019,23489,09,01,2019,2,1615633
joc,10/01/2019,15794,10,01,2019,2,1631427
joc,11/01/2019,23876,11,01,2019,2,1655303
joc,12/01/2019,18646,12,01,2019,2,1673949
joc,13/01/2019,19419,13,01,2019,2,1693368
joc,14/01/2019,19831,14,01,2019,3,1713199
joc,15/01/2019,0,15,01,2019,3,1713199
joc,16/01/2019,24612,16,01,2019,3,1737811
joc,17/01/2019,18522,17,01,2019,3,1756333
joc,18/01/2019,24048,18,01,2019,3,1780381
joc,19/01/2019,22440,19,01,2019,3,1802821
joc,20/01/2019,21376,20,01,2019,3,1824197
joc,21/01/2019,21958,21,01,2019,4,1846155
joc,22/01/2019,0,22,01,2019,4,1846155
joc,23/01/2019,26450,23,01,2019,4,1872605
joc,24/01/2019,17702,24,01,2019,4,1890307
joc,25/01/2019,27594,25,01,2019,4,1917901
joc,26/01/2019,22516,26,01,2019,4,1940417
joc,27/01/2019,23663,27,01,2019,4,1964080
joc,28/01/2019,21883,28,01,2019,5,1985963
llem,01/11/2018,0,01,11,2018,44,0
llem,02/11/2018,121,02,11,2018,44,121
llem,03/11/2018,72,03,11,2018,44,193
llem,04/11/2018,0,04,11,2018,44,193
llem,05/11/2018,1227,05,11,2018,45,1420
llem,06/11/2018,1273,06,11,2018,45,2693
llem,07/11/2018,1241,07,11,2018,45,3934
llem,08/11/2018,1241,08,11,2018,45,5175
llem,09/11/2018,1236,09,11,2018,45,6411
llem,10/11/2018,160,10,11,2018,45,6571
llem,11/11/2018,0,11,11,2018,45,6571
llem,12/11/2018,1695,12,11,2018,46,8266
llem,13/11/2018,1442,13,11,2018,46,9708
llem,14/11/2018,1226,14,11,2018,46,10934
llem,15/11/2018,861,15,11,2018,46,11795
llem,16/11/2018,864,16,11,2018,46,12659
llem,17/11/2018,96,17,11,2018,46,12755
llem,18/11/2018,0,18,11,2018,46,12755
llem,19/11/2018,1300,19,11,2018,47,14055
llem,20/11/2018,1462,20,11,2018,47,15517
llem,21/11/2018,1458,21,11,2018,47,16975
llem,22/11/2018,1022,22,11,2018,47,17997
llem,23/11/2018,759,23,11,2018,47,18756
llem,24/11/2018,98,24,11,2018,47,18854
llem,25/11/2018,0,25,11,2018,47,18854
llem,26/11/2018,1086,26,11,2018,48,19940
llem,27/11/2018,1528,27,11,2018,48,21468
llem,28/11/2018,1077,28,11,2018,48,22545
llem,29/11/2018,805,29,11,2018,48,23350
llem,30/11/2018,719,30,11,2018,48,24069
llem,01/12/2018,135,01,12,2018,48,24204
llem,02/12/2018,0,02,12,2018,48,24204
llem,03/12/2018,1043,03,12,2018,49,25247
llem,04/12/2018,1346,04,12,2018,49,26593
llem,05/12/2018,1357,05,12,2018,49,27950
llem,06/12/2018,924,06,12,2018,49,28874
llem,07/12/2018,768,07,12,2018,49,29642
llem,08/12/2018,134,08,12,2018,49,29776
llem,09/12/2018,0,09,12,2018,49,29776
llem,10/12/2018,981,10,12,2018,50,30757
llem,11/12/2018,793,11,12,2018,50,31550
llem,12/12/2018,626,12,12,2018,50,32176
llem,13/12/2018,467,13,12,2018,50,32643
llem,14/12/2018,556,14,12,2018,50,33199
llem,15/12/2018,63,15,12,2018,50,33262
llem,16/12/2018,0,16,12,2018,50,33262
llem,17/12/2018,451,17,12,2018,51,33713
llem,18/12/2018,811,18,12,2018,51,34524
llem,19/12/2018,678,19,12,2018,51,35202
llem,20/12/2018,560,20,12,2018,51,35762
llem,21/12/2018,363,21,12,2018,51,36125
llem,22/12/2018,0,22,12,2018,51,36125
llem,23/12/2018,0,23,12,2018,51,36125
llem,24/12/2018,0,24,12,2018,52,36125
llem,25/12/2018,0,25,12,2018,52,36125
llem,26/12/2018,0,26,12,2018,52,36125
llem,27/12/2018,0,27,12,2018,52,36125
llem,28/12/2018,0,28,12,2018,52,36125
llem,29/12/2018,0,29,12,2018,52,36125
llem,30/12/2018,0,30,12,2018,52,36125
llem,31/12/2018,0,31,12,2018,1,36125
llem,01/01/2019,0,01,01,2019,1,36125
llem,02/01/2019,0,02,01,2019,1,36125
llem,03/01/2019,23,03,01,2019,1,36148
llem,04/01/2019,34,04,01,2019,1,36182
llem,05/01/2019,1,05,01,2019,1,36183
llem,06/01/2019,0,06,01,2019,1,36183
llem,07/01/2019,147,07,01,2019,2,36330
llem,08/01/2019,210,08,01,2019,2,36540
llem,09/01/2019,97,09,01,2019,2,36637
llem,10/01/2019,65,10,01,2019,2,36702
llem,11/01/2019,36,11,01,2019,2,36738
llem,12/01/2019,7,12,01,2019,2,36745
llem,13/01/2019,0,13,01,2019,2,36745
llem,14/01/2019,160,14,01,2019,3,36905
llem,15/01/2019,157,15,01,2019,3,37062
llem,16/01/2019,140,16,01,2019,3,37202
llem,17/01/2019,85,17,01,2019,3,37287
llem,18/01/2019,102,18,01,2019,3,37389
llem,19/01/2019,21,19,01,2019,3,37410
llem,20/01/2019,0,20,01,2019,3,37410
llem,21/01/2019,1307,21,01,2019,4,38717
llem,22/01/2019,1343,22,01,2019,4,40060
