sep=,
"Date","Entrees"
"01/11/2018 00:00",0
"01/11/2018 00:30",0
"01/11/2018 01:00",0
"01/11/2018 01:30",0
"01/11/2018 02:00",0
"01/11/2018 02:30",0
"01/11/2018 03:00",0
"01/11/2018 03:30",0
"01/11/2018 04:00",0
"01/11/2018 04:30",0
"01/11/2018 05:00",0
"01/11/2018 05:30",0
"01/11/2018 06:00",0
"01/11/2018 06:30",0
"01/11/2018 07:00",0
"01/11/2018 07:30",0
"01/11/2018 08:00",0
"01/11/2018 08:30",0
"01/11/2018 09:00",0
"01/11/2018 09:30",0
"01/11/2018 10:00",0
"01/11/2018 10:30",0
"01/11/2018 11:00",0
"01/11/2018 11:30",121
"01/11/2018 12:00",104
"01/11/2018 12:30",80
"01/11/2018 13:00",81
"01/11/2018 13:30",105
"01/11/2018 14:00",102
"01/11/2018 14:30",126
"01/11/2018 15:00",119
"01/11/2018 15:30",110
"01/11/2018 16:00",135
"01/11/2018 16:30",115
"01/11/2018 17:00",122
"01/11/2018 17:30",65
"01/11/2018 18:00",16
"01/11/2018 18:30",0
"01/11/2018 19:00",0
"01/11/2018 19:30",0
"01/11/2018 20:00",0
"01/11/2018 20:30",0
"01/11/2018 21:00",0
"01/11/2018 21:30",0
"01/11/2018 22:00",0
"01/11/2018 22:30",0
"01/11/2018 23:00",0
"01/11/2018 23:30",0
"02/11/2018 00:00",0
"02/11/2018 00:30",0
"02/11/2018 01:00",0
"02/11/2018 01:30",0
"02/11/2018 02:00",0
"02/11/2018 02:30",0
"02/11/2018 03:00",0
"02/11/2018 03:30",0
"02/11/2018 04:00",0
"02/11/2018 04:30",0
"02/11/2018 05:00",0
"02/11/2018 05:30",0
"02/11/2018 06:00",0
"02/11/2018 06:30",0
"02/11/2018 07:00",0
"02/11/2018 07:30",0
"02/11/2018 08:00",0
"02/11/2018 08:30",0
"02/11/2018 09:00",0
"02/11/2018 09:30",0
"02/11/2018 10:00",0
"02/11/2018 10:30",0
"02/11/2018 11:00",0
"02/11/2018 11:30",140
"02/11/2018 12:00",136
"02/11/2018 12:30",131
"02/11/2018 13:00",140
"02/11/2018 13:30",104
"02/11/2018 14:00",77
"02/11/2018 14:30",130
"02/11/2018 15:00",131
"02/11/2018 15:30",135
"02/11/2018 16:00",134
"02/11/2018 16:30",135
"02/11/2018 17:00",116
"02/11/2018 17:30",130
"02/11/2018 18:00",87
"02/11/2018 18:30",74
"02/11/2018 19:00",89
"02/11/2018 19:30",65
"02/11/2018 20:00",37
"02/11/2018 20:30",16
"02/11/2018 21:00",12
"02/11/2018 21:30",2
"02/11/2018 22:00",0
"02/11/2018 22:30",0
"02/11/2018 23:00",0
"02/11/2018 23:30",0
"03/11/2018 00:00",0
"03/11/2018 00:30",0
"03/11/2018 01:00",0
"03/11/2018 01:30",0
"03/11/2018 02:00",0
