score,time,nok,nko,groupName,userId,moduleName,nsession,key,sumscore,sumtime,sumnok,sumnko,sumnsession
0.88,10,11,8,"AM 2","2660084","Les Fondamentaux Campus",1,"18/09/2017",0.88,10,11,8,1
32.94,18,127,7,"AM 2","2660085","Supérieur",1,"26/09/2017",32.94,18,127,7,1
8.94,8,56,10,"AM 2","2660085","Supérieur",1,"27/09/2017",41.879999999999995,26,183,17,2
31.099999999999994,17,181,45,"AM 2","2660085","Supérieur",1,"02/10/2017",72.97999999999999,43,364,62,3
9.4,5,45,7,"AM 2","2660085","Supérieur",1,"13/10/2017",82.38,48,409,69,4
4,5,31,26,"AM 2","2660085","Supérieur",1,"20/10/2017",86.38,53,440,95,5
7.64,12,28,4,"AM 2","2660086","Les Fondamentaux Campus",1,"13/09/2017",7.64,12,28,4,1
1.88,34,10,2,"AM 2","2660086","Les Fondamentaux Campus",1,"05/10/2017",9.52,46,38,6,2
4.64,10,18,3,"AM 2","2660086","Les Fondamentaux Campus",1,"16/10/2017",14.16,56,56,9,3
4.64,5,29,8,"AM 2","2660086","Les Fondamentaux Campus",1,"23/11/2017",18.8,61,85,17,4
41.88,14,153,8,"AM 2","2660088","Supérieur",1,"13/09/2017",41.88,14,153,8,1
27.82,15,170,25,"AM 2","2660088","Supérieur",1,"19/09/2017",69.7,29,323,33,2
27.580000000000005,17,200,45,"AM 2","2660088","Supérieur",1,"21/09/2017",97.28,46,523,78,3
0,0,2,0,"AM 2","2660088","Supérieur",1,"29/01/2018",97.28,46,525,78,4
12.819999999999999,37,145,49,"AM 2","2660089","Les Fondamentaux Campus",1,"20/09/2017",12.819999999999999,37,145,49,1
6.3999999999999995,6,35,13,"AM 2","2660089","Les Fondamentaux Campus",1,"21/09/2017",19.22,43,180,62,2
1,4,12,10,"AM 2","2660089","Les Fondamentaux Campus",1,"02/10/2017",20.22,47,192,72,3
40,83,426,88,"AM 2","2660090","Les Fondamentaux Campus",1,"13/09/2017",40,83,426,88,1
71,114,887,246,"AM 2","2660090","Les Fondamentaux Campus",1,"14/09/2017",111,197,1313,334,2
47.82,62,719,278,"AM 2","2660090","Pro",1,"15/09/2017",158.82,259,2032,612,3
51.82,73,954,413,"AM 2","2660090","Pont supérieur",1,"18/09/2017",210.64,332,2986,1025,4
23.2,37,195,60,"AM 2","2660091","Les Fondamentaux Campus",1,"13/09/2017",23.2,37,195,60,1
20.680000000000003,23,128,42,"AM 2","2660091","Les Fondamentaux Campus",1,"14/09/2017",43.88,60,323,102,2
13.280000000000003,9,101,29,"AM 2","2660091","Pro",1,"20/09/2017",57.160000000000004,69,424,131,3
4.88,16,57,15,"AM 2","2660091","Pro",1,"19/10/2017",62.040000000000006,85,481,146,4
