sep=,
"Date","Visiteurs presents","Entrees","Sorties"
"01/11/2018 00:00",0,0,0
"01/11/2018 00:30",0,0,0
"01/11/2018 01:00",0,0,0
"01/11/2018 01:30",0,0,0
"01/11/2018 02:00",0,0,0
"01/11/2018 02:30",0,0,0
"01/11/2018 03:00",0,0,0
"01/11/2018 03:30",0,0,0
"01/11/2018 04:00",0,0,0
"01/11/2018 04:30",0,0,0
"01/11/2018 05:00",0,0,0
"01/11/2018 05:30",0,0,0
"01/11/2018 06:00",0,1,1
"01/11/2018 06:30",2,4,2
"01/11/2018 07:00",3,2,1
"01/11/2018 07:30",4,3,2
"01/11/2018 08:00",4,3,3
"01/11/2018 08:30",3,4,5
"01/11/2018 09:00",2,2,3
"01/11/2018 09:30",1,6,7
"01/11/2018 10:00",12,31,20
"01/11/2018 10:30",177,219,54
"01/11/2018 11:00",437,299,39
"01/11/2018 11:30",746,347,38
"01/11/2018 12:00",1065,385,66
"01/11/2018 12:30",1228,343,180
"01/11/2018 13:00",1264,255,219
"01/11/2018 13:30",1260,252,256
"01/11/2018 14:00",1311,323,272
"01/11/2018 14:30",1412,386,285
"01/11/2018 15:00",1659,524,277
"01/11/2018 15:30",1790,417,286
"01/11/2018 16:00",1917,530,403
"01/11/2018 16:30",1938,508,487
"01/11/2018 17:00",1934,554,558
"01/11/2018 17:30",1774,410,570
"01/11/2018 18:00",1472,324,626
"01/11/2018 18:30",900,129,701
"01/11/2018 19:00",102,81,879
"01/11/2018 19:30",1,11,112
"01/11/2018 20:00",0,1,2
"01/11/2018 20:30",0,0,0
"01/11/2018 21:00",0,0,0
"01/11/2018 21:30",0,0,0
"01/11/2018 22:00",0,0,0
"01/11/2018 22:30",0,0,0
"01/11/2018 23:00",0,0,0
"01/11/2018 23:30",0,0,0
"02/11/2018 00:00",0,0,0
"02/11/2018 00:30",0,0,0
"02/11/2018 01:00",0,0,0
"02/11/2018 01:30",0,0,0
"02/11/2018 02:00",0,0,0
