sep=,
"Date","Entrees"
"01/11/2018 00:00",0
"01/11/2018 00:30",0
"01/11/2018 01:00",0
"01/11/2018 01:30",0
"01/11/2018 02:00",0
"01/11/2018 02:30",0
"01/11/2018 03:00",0
"01/11/2018 03:30",0
"01/11/2018 04:00",0
"01/11/2018 04:30",0
"01/11/2018 05:00",0
"01/11/2018 05:30",0
"01/11/2018 06:00",1
"01/11/2018 06:30",4
"01/11/2018 07:00",2
"01/11/2018 07:30",3
"01/11/2018 08:00",3
"01/11/2018 08:30",4
"01/11/2018 09:00",2
"01/11/2018 09:30",6
"01/11/2018 10:00",31
"01/11/2018 10:30",219
"01/11/2018 11:00",299
"01/11/2018 11:30",347
"01/11/2018 12:00",385
"01/11/2018 12:30",343
"01/11/2018 13:00",255
"01/11/2018 13:30",252
"01/11/2018 14:00",323
"01/11/2018 14:30",386
"01/11/2018 15:00",524
"01/11/2018 15:30",417
"01/11/2018 16:00",530
"01/11/2018 16:30",508
"01/11/2018 17:00",554
"01/11/2018 17:30",410
"01/11/2018 18:00",324
"01/11/2018 18:30",129
"01/11/2018 19:00",81
"01/11/2018 19:30",11
"01/11/2018 20:00",1
"01/11/2018 20:30",0
"01/11/2018 21:00",0
"01/11/2018 21:30",0
"01/11/2018 22:00",0
"01/11/2018 22:30",0
"01/11/2018 23:00",0
"01/11/2018 23:30",0
"02/11/2018 00:00",0
"02/11/2018 00:30",0
"02/11/2018 01:00",0
"02/11/2018 01:30",0
"02/11/2018 02:00",0
"02/11/2018 02:30",1
"02/11/2018 03:00",0
"02/11/2018 03:30",0
"02/11/2018 04:00",0
"02/11/2018 04:30",1
"02/11/2018 05:00",0
"02/11/2018 05:30",0
"02/11/2018 06:00",0
"02/11/2018 06:30",1
"02/11/2018 07:00",2
"02/11/2018 07:30",0
"02/11/2018 08:00",1
"02/11/2018 08:30",2
"02/11/2018 09:00",6
"02/11/2018 09:30",80
"02/11/2018 10:00",28
"02/11/2018 10:30",30
"02/11/2018 11:00",39
"02/11/2018 11:30",420
"02/11/2018 12:00",495
"02/11/2018 12:30",341
"02/11/2018 13:00",441
"02/11/2018 13:30",237
"02/11/2018 14:00",358
"02/11/2018 14:30",368
"02/11/2018 15:00",455
"02/11/2018 15:30",469
"02/11/2018 16:00",428
"02/11/2018 16:30",433
"02/11/2018 17:00",376
"02/11/2018 17:30",307
"02/11/2018 18:00",141
"02/11/2018 18:30",63
"02/11/2018 19:00",35
"02/11/2018 19:30",14
"02/11/2018 20:00",3
"02/11/2018 20:30",0
"02/11/2018 21:00",0
"02/11/2018 21:30",0
"02/11/2018 22:00",1
"02/11/2018 22:30",0
"02/11/2018 23:00",0
"02/11/2018 23:30",0
"03/11/2018 00:00",0
"03/11/2018 00:30",0
"03/11/2018 01:00",0
"03/11/2018 01:30",0
"03/11/2018 02:00",0
