sep=,
"Date","Entrees"
"01/11/2018 00:00",0
"01/11/2018 00:30",0
"01/11/2018 01:00",0
"01/11/2018 01:30",0
"01/11/2018 02:00",0
"01/11/2018 02:30",0
"01/11/2018 03:00",0
"01/11/2018 03:30",0
"01/11/2018 04:00",0
"01/11/2018 04:30",0
"01/11/2018 05:00",0
"01/11/2018 05:30",0
"01/11/2018 06:00",0
"01/11/2018 06:30",0
"01/11/2018 07:00",0
"01/11/2018 07:30",0
"01/11/2018 08:00",0
"01/11/2018 08:30",0
"01/11/2018 09:00",0
"01/11/2018 09:30",0
"01/11/2018 10:00",0
"01/11/2018 10:30",0
"01/11/2018 11:00",0
"01/11/2018 11:30",0
"01/11/2018 12:00",0
"01/11/2018 12:30",0
"01/11/2018 13:00",0
"01/11/2018 13:30",0
"01/11/2018 14:00",0
"01/11/2018 14:30",0
"01/11/2018 15:00",0
"01/11/2018 15:30",0
"01/11/2018 16:00",0
"01/11/2018 16:30",0
"01/11/2018 17:00",0
"01/11/2018 17:30",0
"01/11/2018 18:00",0
"01/11/2018 18:30",0
"01/11/2018 19:00",0
"01/11/2018 19:30",0
"01/11/2018 20:00",0
"01/11/2018 20:30",0
"01/11/2018 21:00",0
"01/11/2018 21:30",0
"01/11/2018 22:00",0
"01/11/2018 22:30",0
"01/11/2018 23:00",0
"01/11/2018 23:30",0
"02/11/2018 00:00",0
"02/11/2018 00:30",0
"02/11/2018 01:00",0
"02/11/2018 01:30",0
"02/11/2018 02:00",0
"02/11/2018 02:30",0
"02/11/2018 03:00",0
"02/11/2018 03:30",0
"02/11/2018 04:00",0
"02/11/2018 04:30",0
"02/11/2018 05:00",0
"02/11/2018 05:30",0
"02/11/2018 06:00",0
"02/11/2018 06:30",0
"02/11/2018 07:00",0
"02/11/2018 07:30",0
"02/11/2018 08:00",0
"02/11/2018 08:30",0
"02/11/2018 09:00",27
"02/11/2018 09:30",30
"02/11/2018 10:00",18
"02/11/2018 10:30",9
"02/11/2018 11:00",12
"02/11/2018 11:30",14
"02/11/2018 12:00",9
"02/11/2018 12:30",22
"02/11/2018 13:00",15
"02/11/2018 13:30",12
"02/11/2018 14:00",0
"02/11/2018 14:30",26
"02/11/2018 15:00",31
"02/11/2018 15:30",11
"02/11/2018 16:00",6
"02/11/2018 16:30",8
"02/11/2018 17:00",17
"02/11/2018 17:30",2
"02/11/2018 18:00",33
"02/11/2018 18:30",4
"02/11/2018 19:00",21
"02/11/2018 19:30",0
"02/11/2018 20:00",0
"02/11/2018 20:30",0
"02/11/2018 21:00",0
"02/11/2018 21:30",0
"02/11/2018 22:00",0
"02/11/2018 22:30",0
"02/11/2018 23:00",0
"02/11/2018 23:30",0
"03/11/2018 00:00",0
"03/11/2018 00:30",0
"03/11/2018 01:00",0
"03/11/2018 01:30",0
"03/11/2018 02:00",0
